Question,Category,Success,runtime beats,memory beats,Level,Calls library?,success 2nd try,,Language,why fail
2576. Find the Maximum Number of Marked Indices,,No: Wrong Answer 6/68,,,Medium,,"No: 11, then stuck",,Python,
2575. Find the Divisibility Array of a String,,Yes,,,Medium,,,,Python,
,,,,,,,,,,
2286. Booking Concert Tickets in Groups,,wrong answer,,,Hard,Yes,No,,Python,makes mistakes certain  testcases
2407. Longest Increasing Subsequence II,,wrong answer,,,Hard,,,,Python,
2508. Add Edges to Make Degrees of All Nodes Even,,wrong Answer,,,Hard,Yes,,,Python,
2565. Subsequence With the Minimum Score,,wrong Answer,,,Hard,,,,Python,
2478. Number of Beautiful Partitions,,Time Limit Exceeded,,,Hard,,,,Python,
2183. Count Array Pairs Divisible by K,,wrong Answer,,,Hard,,,,Python,
2528. Maximize the Minimum Powered City,,wrong Answer,,,Hard,,,,Python,
2569. Handling Sum Queries After Update,,Time Limit Exceeded,,,Hard,,,,Python,
2338. Count the Number of Ideal Arrays,,Time Limit Exceeded,,,Hard,,,,Python,
2584. Split the Array to Make Coprime Products,,Wrong Answer,,,Hard,Yes,,,Python,
2552. Count Increasing Quadruplets,,Time Limit Exceeded,,,Hard,,,,Python,
2281. Sum of Total Strength of Wizards,,wrong Answer,,,Hard,,,,Python,
2430. Maximum Deletions on a String,,wrong Answer,,,Hard,,,,Python,
2234. Maximum Total Beauty of the Gardens,,wrong Answer,,,Hard,Yes,,,Python,
2132. Stamping the Grid,,Time Limit Exceeded,,,Hard,,,,Python,
2157. Groups of Strings,,wrong Answer,,,Hard,Yes,,,Python,
2213. Longest Substring of One Repeating Character,,wrong Answer,,,Hard,,,,Python,
2156. Find Substring With Given Hash Value,,wrong Answer,,,Hard,,,,Python,
2117. Abbreviating the Product of a Range,,Yes,6.38,59.57,Hard,,,,Python,
2035. Partition Array Into Two Arrays to Minimize Sum Difference,,wrong answer,,,Hard,Yes,,,Python,wrong logic
