,game,number of moves,faulty_move,moves place in top 10,moves score (centipawns),Comments
698,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...d5 4.exd5 4...Bd7 5.d4 5...f6 6.dxc5 6...Qe7 7.Bd3 7...f5 8.Qe2 8...Nh6,7.0,Qe2,"[2, 'None', 3, 'None', 1, 'None', -100, 'None', 4, 'None', 12, 'None', 17, 'None']","[49, 'None', 54, 'None', 435, 'None', -100, 'None', 167, 'None', 341, 'None', 309, 'None']",
699,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...b6 4.dxe5 4...Na6 5.Bxa6 5...Bc5 6.Bd3 6...Nf6 7.Qe2 7...Rf8,6.0,Qd3,"[2, 'None', 4, 'None', 5, 'None', -100, 'None', 1, 'None', 6, 'None']","[49, 'None', 97, 'None', 177, 'None', -100, 'None', 1039, 'None', 632, 'None']",
700,1.e4 1...e5 2.Nf3 2...Qf6 3.Qe2 3...c6,2.0,Qf3,"[2, 'None', 8, 'None']","[49, 'None', 92, 'None']",
701,1.e4 1...e5 2.Nf3 2...Qe7 3.Qe2 3...Na6 4.d4 4...Qe6 5.dxe5 5...Qc6 6.Nc3 6...Rb8,5.0,Bd3,"[2, 'None', 14, 'None', 12, 'None', 2, 'None', 6, 'None']","[49, 'None', 57, 'None', 49, 'None', 249, 'None', 283, 'None']",
702,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...Bc5 4.Bc4 4...Bb6,3.0,Bxb6,"[2, 'None', 3, 'None', 6, 'None']","[49, 'None', 71, 'None', 72, 'None']",
703,1.e4 1...e5 2.Nf3 2...Na6 3.Bc4 3...Nf6 4.d4 4...g6 5.Bxf7+ 5...Ke7 6.Bd5+ 6...Bg7 7.Bxb7 7...Nc5 8.Bxc8 8...Kf8 9.Nc3 9...g5 10.dxe5 10...Ng8,9.0,check,"[2, 'None', 13, 'None', 4, 'None', 6, 'None', 3, 'None', -100, 'None', 2, 'None', 17, 'None', 2, 'None']","[49, 'None', 61, 'None', 126, 'None', 242, 'None', 348, 'None', -100, 'None', 418, 'None', 423, 'None', 700, 'None']",
704,1.e4 1...e5 2.Nf3 2...Qe7 3.Qe2 3...Qd6,2.0,Qxd6,"[2, 'None', 14, 'None']","[49, 'None', 57, 'None']",
705,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...g6 4.d4 4...Qa5 5.Bd2 5...exd4,4.0,Bxa5,"[2, 'None', 3, 'None', 3, 'None', 7, 'None']","[49, 'None', 54, 'None', 59, 'None', 115, 'None']",
706,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...a5 4.d5 4...Qb6 5.Nc3 5...Qc5 6.Bd2 6...b6 7.Bd3 7...cxd5 8.Nxd5 8...Ne7 9.Nxe7+ 9...Nc6 10.Nxc6 10...h6,9.0,Nd4,"[2, 'None', 4, 'None', 12, 'None', 12, 'None', 1, 'None', 9, 'None', 3, 'None', -100, 'None', 3, 'None']","[49, 'None', 65, 'None', 80, 'None', 22, 'None', 296, 'None', 215, 'None', 281, 'None', -100, 'None', 645, 'None']",
707,1.e4 1...e5 2.Nf3 2...Qf6 3.Qe2 3...Qe6,2.0,Qxe6,"[2, 'None', 8, 'None']","[49, 'None', 92, 'None']",
708,1.e4 1...e5 2.Nf3 2...Bb4 3.Bd3 3...Kf8 4.Qe2 4...Bc5,3.0,Bxc5,"[2, 'None', 8, 'None', 16, 'None']","[49, 'None', 55, 'None', 43, 'None']",
709,1.e4 1...e5 2.Nf3 2...a6 3.Bc4 3...Bd6 4.d4 4...Nc6 5.Nc3 5...Nh6 6.d5 6...f6 7.dxc6 7...Ra7 8.Bxf7+ 8...Nxf7,7.0,Bd5+,"[2, 'None', 3, 'None', 2, 'None', 5, 'None', -100, 'None', 1, 'None', -100, 'None']","[49, 'None', 71, 'None', 112, 'None', 116, 'None', -100, 'None', 477, 'None', -100, 'None']",
710,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...Nd4 4.Nxd4 4...exd4 5.c3 5...Qf6 6.Qb3 6...b6 7.Bc4 7...Qe7 8.Qd1 8...Bb7,7.0,Qd3,"[2, 'None', 3, 'None', 3, 'None', 12, 'None', 12, 'None', 1, 'None', 18, 'None']","[49, 'None', 17, 'None', 33, 'None', -26, 'None', 3, 'None', 59, 'None', -139, 'None']",
711,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...Qf6 4.dxe5 4...Qh6 5.Nc3 5...g6 6.Bd3 6...Be7 7.Qe2 7...Qh4,6.0,Qxh4,"[2, 'None', 4, 'None', 1, 'None', 3, 'None', -100, 'None', 7, 'None']","[49, 'None', 97, 'None', 291, 'None', 370, 'None', -100, 'None', 437, 'None']",
712,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...h6 4.d4 4...Qxd5 5.Nc3 5...Be6 6.Bb5+ 6...Qxb5 7.Nxb5 7...Be7 8.dxe5 8...b6 9.Nc3 9...Nf6 10.Nd4 10...O-O,9.0,Nd4,"[2, 'None', 3, 'None', 6, 'None', 3, 'None', 3, 'None', 1, 'None', 2, 'None', -100, 'None', 1, 'None']","[49, 'None', 71, 'None', 132, 'None', 178, 'None', 470, 'None', 544, 'None', 691, 'None', -100, 'None', 655, 'None']",
713,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...Nh6 4.Bxc6 4...Be7 5.d4 5...Bf6 6.dxe5 6...Bxe5 7.Nxe5 7...g6 8.Nf3 8...Nf5,7.0,Bd3,"[2, 'None', 3, 'None', 14, 'None', 4, 'None', 4, 'None', 4, 'None', -100, 'None']","[49, 'None', 17, 'None', 46, 'None', 179, 'None', 502, 'None', 696, 'None', -100, 'None']",
714,1.e4 1...e5 2.Nf3 2...h6 3.Bc4 3...b6 4.d4 4...h5 5.dxe5 5...a5 6.Bb3 6...Ra7 7.Nc3 7...Bb7 8.Qd3 8...Na6 9.Qd7 9...Qxd7,8.0,Bxd7,"[2, 'None', 3, 'None', 4, 'None', 6, 'None', 11, 'None', 4, 'None', 18, 'None', -100, 'None']","[49, 'None', 72, 'None', 220, 'None', 372, 'None', 350, 'None', 445, 'None', 363, 'None', -100, 'None']",
715,1.e4 1...e5 2.Nf3 2...Nf6 3.d4 3...Ng4 4.dxe5 4...f6 5.Bd3 5...c5 6.Qe2 6...c4,5.0,Qe4,"[2, 'None', 1, 'None', -100, 'None', 15, 'None', 6, 'None']","[49, 'None', 69, 'None', -100, 'None', 135, 'None', 276, 'None']",
716,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...Qf6 4.Nc3 4...Qd8 5.dxe5 5...Bh6 6.Bxh6 6...Nc6 7.Bd3 7...Nxe5,6.0,Bxe5,"[2, 'None', 2, 'None', 3, 'None', 3, 'None', 9, 'None', 18, 'None']","[49, 'None', 147, 'None', 226, 'None', 342, 'None', 348, 'None', 331, 'None']",
717,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...a5 4.Ba4 4...Be7 5.d4 5...b5 6.Bb3 6...Kf8 7.dxe5 7...Bb7 8.Qd5 8...f5,7.0,Qd8+,"[2, 'None', 3, 'None', 14, 'None', 13, 'None', 2, 'None', 1, 'None', -100, 'None']","[49, 'None', 17, 'None', 24, 'None', -39, 'None', 10, 'None', 244, 'None', -100, 'None']",
718,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...Nh6 4.d4 4...Be7 5.d5 5...a6 6.a4 6...Rg8 7.Bxh6 7...Qa5 8.Bd2 8...Bd8 9.Qe2 9...Bb6 10.Qe3 10...Ba7 11.Qd3 11...Qb4,10.0,Qd2,"[2, 'None', 3, 'None', -100, 'None', 1, 'None', 4, 'None', 4, 'None', 1, 'None', -100, 'None', 4, 'None', 20, 'None']","[49, 'None', 54, 'None', -100, 'None', 500, 'None', 182, 'None', 311, 'None', 874, 'None', -100, 'None', 824, 'None', 603, 'None']",
719,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...Bb6 4.Bd3 4...Nc6 5.Nc3 5...Bc5 6.Bb5 6...Bb4,5.0,Bd2,"[2, 'None', 7, 'None', 14, 'None', 8, 'None', 2, 'None']","[49, 'None', 34, 'None', -13, 'None', -45, 'None', 37, 'None']",
720,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...Nf6,2.0,Bb4,"[2, 'None', 4, 'None']","[49, 'None', 104, 'None']",
721,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...Na6 4.d4 4...Nh6,3.0,d3,"[2, 'None', 3, 'None', 5, 'None']","[49, 'None', 71, 'None', 183, 'None']",
722,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...Na6 4.Bxa6 4...d6 5.d4 5...Bh3 6.Nc3 6...Bg4 7.Bd3 7...c6 8.Qe2 8...Qd7 9.Qe3 9...Bh3 10.Qe2 10...Nh6 11.Qe3 11...f6,10.0,Qe5,"[2, 'None', 4, 'None', -100, 'None', 16, 'None', 16, 'None', 17, 'None', -100, 'None', 8, 'None', 9, 'None', -100, 'None']","[49, 'None', 104, 'None', -100, 'None', 14, 'None', 566, 'None', 645, 'None', -100, 'None', 563, 'None', 508, 'None', -100, 'None']",
723,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...f6 4.Nxf7 4...Na6 5.d4 5...Be7 6.Nd6+ 6...cxd6 7.Bxa6 7...Kf7 8.Bb5+ 8...Kf8 9.Bc6 9...Qc7,8.0,Qd5,"[2, 'None', 1, 'None', 3, 'None', 5, 'None', -100, 'None', 15, 'None', 5, 'None', -100, 'None']","[49, 'None', 176, 'None', 325, 'None', 85, 'None', -100, 'None', -111, 'None', 295, 'None', -100, 'None']",
724,1.e4 1...e5 2.Nf3 2...Qf6 3.Nc3 3...h6 4.d4 4...Qe7 5.dxe5 5...Qc5 6.Bd3 6...Nc6 7.Bf4 7...Qe7 8.Nd5 8...b6 9.Nb4 9...b5 10.Nd5 10...Rb8 11.a4 11...Ra8 12.axb5 12...a6,11.0,Qd4,"[2, 'None', 1, 'None', 2, 'None', 3, 'None', 13, 'None', 2, 'None', 7, 'None', -100, 'None', 1, 'None', 5, 'None', 1, 'None']","[49, 'None', 209, 'None', 181, 'None', 344, 'None', 344, 'None', 352, 'None', 377, 'None', -100, 'None', 655, 'None', 504, 'None', 755, 'None']",
725,1.e4 1...e5 2.Nf3 2...Qf6 3.Nc3 3...Ne7 4.d4 4...c6 5.dxe5 5...Qh6 6.Nd5 6...a5 7.Bd3 7...Qg6,6.0,Bxg6,"[2, 'None', 1, 'None', 3, 'None', 1, 'None', 4, 'None', 5, 'None']","[49, 'None', 209, 'None', 150, 'None', 330, 'None', 412, 'None', 532, 'None']",
726,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...Nd4 4.Nxd4 4...h6 5.Nc3 5...Rb8 6.Bc6 6...Ne7,5.0,Bxe7,"[2, 'None', 3, 'None', 3, 'None', 7, 'None', -100, 'None']","[49, 'None', 17, 'None', 33, 'None', 153, 'None', -100, 'None']",
727,1.e4 1...e5 2.Nf3 2...d6 3.d4 3...Bg4 4.dxe5 4...a6 5.Bf4 5...Bh5 6.Bg3 6...Qe7 7.Nc3 7...f6 8.Qd2 8...f5 9.Qd3 9...f4,8.0,Qd8+,"[2, 'None', 1, 'None', 1, 'None', 3, 'None', 13, 'None', 3, 'None', 11, 'None', 18, 'None']","[49, 'None', 66, 'None', 110, 'None', 139, 'None', 84, 'None', 162, 'None', 89, 'None', 225, 'None']",
728,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...Ne7 4.d4 4...Qc7 5.dxc5 5...Ng6 6.Bf4 6...Qc6,5.0,Bd6,"[2, 'None', 3, 'None', -100, 'None', 4, 'None', -100, 'None']","[49, 'None', 54, 'None', -100, 'None', 204, 'None', -100, 'None']",
729,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...g6 4.d4 4...Nf6 5.dxc5 5...Qe7 6.Bf4 6...Qd8,5.0,Bd6,"[2, 'None', 3, 'None', 3, 'None', 4, 'None', -100, 'None']","[49, 'None', 54, 'None', 59, 'None', 148, 'None', -100, 'None']",
730,1.e4 1...e5 2.Nf3 2...h5 3.Nc3 3...c5 4.d4 4...Nh6 5.dxc5 5...f6 6.Bxh6 6...gxh6 7.Qd4+ 7...Rg8,6.0,checkmate,"[2, 'None', 2, 'None', -100, 'None', 5, 'None', 10, 'None', -100, 'None']","[49, 'None', 141, 'None', -100, 'None', 207, 'None', 257, 'None', -100, 'None']",
731,1.e4 1...e5 2.Nf3 2...Qe7 3.Qe2 3...f5 4.d4 4...b6,3.0,Bd3,"[2, 'None', 14, 'None', 2, 'None']","[49, 'None', 57, 'None', 43, 'None']",
732,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...c6 4.dxc6 4...g5 5.d4 5...h6,4.0,d4xg5,"[2, 'None', 3, 'None', 4, 'None', 4, 'None']","[49, 'None', 71, 'None', 115, 'None', 227, 'None']",
733,1.e4 1...e5 2.Nf3 2...h6 3.d4 3...b6 4.dxe5 4...g6 5.Nc3 5...Bb7 6.Bg5 6...Na6 7.Bh4 7...Rb8 8.Bd3 8...Qxh4,7.0,Qxh4,"[2, 'None', 11, 'None', 2, 'None', 3, 'None', -100, 'None', 2, 'None', 13, 'None']","[49, 'None', 34, 'None', 266, 'None', 327, 'None', -100, 'None', 485, 'None', 288, 'None']",
734,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...a6 4.Ba4 4...h6 5.Nc3 5...c5 6.d4 6...Bb7 7.dxc5 7...Bc6 8.Bxc6 8...Rh7,7.0,Bxc6,"[2, 'None', 4, 'None', 1, 'None', 19, 'None', 8, 'None', 3, 'None', 6, 'None']","[49, 'None', 104, 'None', 140, 'None', -91, 'None', -1, 'None', 141, 'None', 218, 'None']",
735,1.e4 1...e5 2.Nf3 2...a6 3.d4 3...Bd6 4.Bd3 4...Qf6 5.Nc3 5...Be7 6.Qe2 6...c5 7.dxc5 7...Nc6 8.Bb5 8...Qe6 9.Bxc6 9...h6,8.0,Qxe6,"[2, 'None', 4, 'None', -100, 'None', 2, 'None', 12, 'None', 13, 'None', -100, 'None', 12, 'None']","[49, 'None', 61, 'None', -100, 'None', 198, 'None', 283, 'None', 171, 'None', -100, 'None', 93, 'None']",
736,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...f5 4.d4 4...Nf6 5.dxc5 5...Qe7 6.Bd3 6...Kf7 7.Qe2 7...g6,6.0,Qe4+,"[2, 'None', 3, 'None', -100, 'None', 4, 'None', 4, 'None', 1, 'None']","[49, 'None', 54, 'None', -100, 'None', 124, 'None', 186, 'None', 404, 'None']",
737,1.e4 1...e5 2.Nf3 2...d6 3.d4 3...f5 4.dxe5 4...Be6 5.Nc3 5...Qe7 6.Bd3 6...Nd7 7.Qe2 7...f4 8.Qe3 8...Qf7 9.Qd4 9...Nc5 10.Qxc5 10...Qg6,9.0,Bxg6,"[2, 'None', 1, 'None', 4, 'None', 8, 'None', 8, 'None', 5, 'None', -100, 'None', 3, 'None', -100, 'None']","[49, 'None', 66, 'None', 87, 'None', 199, 'None', 266, 'None', 242, 'None', -100, 'None', 72, 'None', -100, 'None']",
738,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...b5 4.Bxb5 4...a6 5.Ba4 5...Bb7 6.Bb3 6...Qe7 7.d3 7...Nf6 8.Nc3 8...Bc6,7.0,Bxc6,"[2, 'None', 7, 'None', 1, 'None', 1, 'None', 7, 'None', 1, 'None', 2, 'None']","[49, 'None', 34, 'None', 197, 'None', 212, 'None', 194, 'None', 324, 'None', 216, 'None']",
739,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...a6 4.Ba4 4...b5 5.Bb3 5...Qf6,4.0,Bxc6,"[2, 'None', 3, 'None', 1, 'None', 1, 'None']","[49, 'None', 17, 'None', 77, 'None', 336, 'None']",
740,1.e4 1...e5 2.Nf3 2...Nf6 3.d4 3...Rg8 4.dxe5 4...g5 5.Bxg5 5...Na6 6.Bxa6 6...d6 7.Bb5+ 7...c6 8.Bd3 8...d5 9.Qe2 9...Bg4,8.0,Qxg4,"[2, 'None', 1, 'None', 1, 'None', 4, 'None', 4, 'None', 2, 'None', 1, 'None', 2, 'None']","[49, 'None', 69, 'None', 273, 'None', 434, 'None', 566, 'None', 661, 'None', 620, 'None', 593, 'None']",
741,1.e4 1...e5 2.Nf3 2...Na6 3.Bc4 3...Nb8 4.d4 4...Bb4+ 5.c3# 5...Nc6,4.0,c3#,"[2, 'None', 13, 'None', 2, 'None', 1, 'None']","[49, 'None', 61, 'None', 170, 'None', 409, 'None']",
742,1.e4 1...e5 2.Nf3 2...h6 3.Nc3 3...d6 4.d4 4...f5 5.exf5 5...Rh7 6.dxe5 6...Nd7 7.Bd3 7...Nc5 8.Bc4 8...d5 9.Bxd5 9...Rb8,8.0,Bxc5,"[2, 'None', 6, 'None', 1, 'None', 5, 'None', 4, 'None', 4, 'None', 3, 'None', 5, 'None']","[49, 'None', 52, 'None', 109, 'None', 226, 'None', 383, 'None', 477, 'None', 557, 'None', 400, 'None']",
743,1.e4 1...e5 2.Nf3 2...b6 3.Bb5 3...Nf6,2.0,Bb4,"[2, 'None', 4, 'None']","[49, 'None', 104, 'None']",
744,1.e4 1...e5 2.Nf3 2...Bb4 3.Bd3 3...a6,2.0,Bxb4,"[2, 'None', 8, 'None']","[49, 'None', 55, 'None']",
745,1.e4 1...e5 2.Nf3 2...a5 3.d4 3...f5 4.dxe5 4...Qe7 5.Nc3 5...d6 6.Nd5 6...f4 7.Nd2 7...a4 8.Nc4 8...Kd8,7.0,Nb6+,"[2, 'None', 4, 'None', 6, 'None', 4, 'None', 2, 'None', -100, 'None', 3, 'None']","[49, 'None', 97, 'None', 155, 'None', 283, 'None', 362, 'None', -100, 'None', 447, 'None']",
746,1.e4 1...e5 2.Nf3 2...f6 3.Nc3 3...Nh6 4.d4 4...Bb4 5.Bd3 5...Qe7 6.Qe2 6...a6 7.a3 7...Kf8,6.0,Qe4,"[2, 'None', 2, 'None', 1, 'None', 10, 'None', 9, 'None', 7, 'None']","[49, 'None', 121, 'None', 194, 'None', 116, 'None', 113, 'None', 141, 'None']",
747,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...d5 4.dxe5 4...Nh6 5.Nc3 5...Bd7 6.Bxh6 6...a6 7.Bd3 7...Bb5 8.a4 8...Qd6 9.Qe2 9...g5 10.Nd5 10...Bg7 11.Bxg5 11...Nd7,10.0,h6,"[2, 'None', 2, 'None', 14, 'None', 3, 'None', -100, 'None', 17, 'None', 11, 'None', -100, 'None', 10, 'None', 5, 'None']","[49, 'None', 147, 'None', 71, 'None', 300, 'None', -100, 'None', 300, 'None', 512, 'None', -100, 'None', 639, 'None', 836, 'None']",
748,1.e4 1...e5 2.Nf3 2...g6 3.d4 3...a5 4.d5 4...a4 5.d6 5...a3,4.0,d7,"[2, 'None', 2, 'None', 18, 'None', -100, 'None']","[49, 'None', 147, 'None', 87, 'None', -100, 'None']",
749,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...Nd7 4.d4 4...Ne7 5.dxe5 5...Nb6 6.Bd3 6...h6,5.0,Bxb6,"[2, 'None', 3, 'None', 2, 'None', 2, 'None', 4, 'None']","[49, 'None', 71, 'None', 139, 'None', 257, 'None', 201, 'None']",
750,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...f6 4.d4 4...Be7 5.dxc5 5...h6 6.Bxh6 6...Bf8 7.Bd3 7...Qc7 8.Qd2 8...Qxc5,7.0,Qxc5,"[2, 'None', 3, 'None', -100, 'None', 5, 'None', -100, 'None', 19, 'None', 10, 'None']","[49, 'None', 54, 'None', -100, 'None', 116, 'None', -100, 'None', -64, 'None', 57, 'None']",
751,1.e4 1...e5 2.Nf3 2...Nc6 3.Bb5 3...Bb4 4.a3 4...Nd4 5.axb4 5...Nf6 6.Nxd4 6...Nd5 7.Bc4 7...O-O 8.Bb3 8...Qg5 9.Qf3 9...f5,8.0,Qxg5,"[2, 'None', 3, 'None', 8, 'None', 2, 'None', 1, 'None', -100, 'None', -100, 'None', 10, 'None']","[49, 'None', 17, 'None', 56, 'None', 91, 'None', 628, 'None', -100, 'None', -100, 'None', 466, 'None']",
752,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...Nh6 4.d4 4...Be7 5.d5 5...a6 6.Bxh6 6...Bf6 7.Bd3 7...a5 8.a4 8...g5 9.h4 9...gxh4 10.Nxh4 10...c4 11.Bxc4 11...Bxh4 12.Bd3 12...Qg5,11.0,Qxg5,"[2, 'None', 3, 'None', -100, 'None', 1, 'None', 2, 'None', 12, 'None', 18, 'None', 1, 'None', -100, 'None', 7, 'None', 8, 'None']","[49, 'None', 54, 'None', -100, 'None', 500, 'None', 415, 'None', 339, 'None', 303, 'None', 745, 'None', -100, 'None', 401, 'None', 538, 'None']",
753,1.e4 1...e5 2.Nf3 2...f6 3.d4 3...Qe7 4.dxe5 4...Kd8 5.Nc3 5...Qb4 6.a3 6...Ke8 7.Qd3 7...h5,6.0,Qxb4,"[2, 'None', 1, 'None', 9, 'None', 4, 'None', 2, 'None', 17, 'None']","[49, 'None', 133, 'None', 129, 'None', 257, 'None', 440, 'None', 421, 'None']",
754,1.e4 1...e5 2.Nf3 2...h6 3.Nc3 3...Bc5 4.Bc4 4...a6 5.d4 5...Bxd4 6.Qxd4 6...a5 7.Bd3 7...f5,6.0,Qd2,"[2, 'None', 6, 'None', 11, 'None', 4, 'None', -100, 'None', -100, 'None']","[49, 'None', 52, 'None', 20, 'None', 100, 'None', -100, 'None', -100, 'None']",
755,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...a5 4.d5 4...b6 5.Bd3 5...Bd6 6.Bg5 6...Bb7,5.0,Bxb7,"[2, 'None', 4, 'None', 12, 'None', 4, 'None', 1, 'None']","[49, 'None', 65, 'None', 80, 'None', 101, 'None', 185, 'None']",
756,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...Qg5 4.Nf7 4...c5 5.d4 5...Rh6,4.0,advantage,"[2, 'None', 1, 'None', 6, 'None', 6, 'None']","[49, 'None', 176, 'None', 32, 'None', 497, 'None']",
757,1.e4 1...e5 2.Nf3 2...f6 3.Nxe5 3...f5 4.d4 4...f4 5.d5 5...h5 6.Nc6+ 6...Rh6 7.Nxa7 7...Rxa7,6.0,Nc6+,"[2, 'None', -100, 'None', 2, 'None', 6, 'None', -100, 'None', 5, 'None']","[49, 'None', -100, 'None', 321, 'None', 436, 'None', -100, 'None', 224, 'None']",
758,1.e4 1...e5 2.Nf3 2...d6 3.d4 3...exd4 4.Nxd4 4...a6 5.Bxa6 5...Nxa6 6.Nc3 6...h5 7.Nce2 7...Nh6 8.Nf3 8...c6,7.0,Nd5,"[2, 'None', 1, 'None', 4, 'None', -100, 'None', 1, 'None', 16, 'None', 14, 'None']","[49, 'None', 66, 'None', 41, 'None', -100, 'None', -245, 'None', -433, 'None', -411, 'None']",
759,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...d6 4.Nf3 4...a6 5.d4 5...c5 6.Bd3 6...Nd7 7.dxc5 7...Ngf6 8.Nc3 8...Qa5 9.Bd2 9...Ng8 10.Qe2 10...Ngf6,9.0,Bxh5,"[2, 'None', 1, 'None', 2, 'None', 1, 'None', 4, 'None', -100, 'None', 6, 'None', 1, 'None', 7, 'None']","[49, 'None', 176, 'None', 190, 'None', 279, 'None', 251, 'None', -100, 'None', 169, 'None', 334, 'None', 366, 'None']",
760,1.e4 1...e5 2.Nf3 2...a6 3.Bc4 3...Be7 4.d4 4...h5 5.Nc3 5...Bf6 6.dxe5 6...c6 7.Qd5 7...g5,6.0,Qxg5,"[2, 'None', 3, 'None', 3, 'None', 6, 'None', 1, 'None', -100, 'None']","[49, 'None', 71, 'None', 136, 'None', 164, 'None', 606, 'None', -100, 'None']",
761,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...d5 4.Bxd5 4...f6 5.Bxf7+ 5...Kd7,4.0,Bxf7+,"[2, 'None', 7, 'None', 1, 'None', -100, 'None']","[49, 'None', 34, 'None', 127, 'None', -100, 'None']",
762,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...f6 4.d4 4...Bd6 5.Nc3 5...Na6 6.Bb3 6...b5 7.d5 7...Bc5 8.a4 8...Ne7 9.Nd4 9...d6 10.axb5 10...Rf8 11.Qe2 11...Bd7 12.Nf5 12...h5 13.Nxd6 13...cxd6 14.Qd3 14...Nb8,13.0,Qd8#,"[2, 'None', 7, 'None', 3, 'None', 1, 'None', 4, 'None', -100, 'None', 4, 'None', -100, 'None', 5, 'None', -100, 'None', 2, 'None', 7, 'None', 12, 'None']","[49, 'None', 34, 'None', 183, 'None', 290, 'None', 308, 'None', -100, 'None', 163, 'None', -100, 'None', 30, 'None', -100, 'None', 439, 'None', 362, 'None', -73, 'None']",
763,1.e4 1...e5 2.Nf3 2...d5 3.exd5 3...g6 4.d4 4...a6,3.0,dxc6,"[2, 'None', 3, 'None', 13, 'None']","[49, 'None', 71, 'None', 114, 'None']",
764,1.e4 1...e5 2.Nf3 2...a6 3.Bc4 3...g5 4.Bxf7+ 4...Kxf7,3.0,Qxg5+,"[2, 'None', 3, 'None', 11, 'None']","[49, 'None', 71, 'None', 138, 'None']",
765,1.e4 1...e5 2.Nf3 2...h5 3.Nxe5 3...d6 4.Nf3 4...g5 5.Nxg5 5...Nd7 6.d4 6...Ngf6,5.0,dxe5,"[2, 'None', 1, 'None', 2, 'None', -100, 'None', 2, 'None']","[49, 'None', 176, 'None', 190, 'None', -100, 'None', 349, 'None']",
766,1.e4 1...e5 2.Nf3 2...Nf6 3.d4 3...c5 4.dxc5 4...Qe7 5.Nc3 5...h5 6.Bf4 6...Rg8,5.0,Bxh5,"[2, 'None', 1, 'None', 5, 'None', 9, 'None', -100, 'None']","[49, 'None', 69, 'None', -4, 'None', 80, 'None', -100, 'None']",
767,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...g6 4.d4 4...h6 5.dxc5 5...Qc7 6.Bf4 6...a6 7.Bd3 7...d6 8.Qe2 8...Bh3,7.0,Qxh3,"[2, 'None', 3, 'None', 3, 'None', 2, 'None', -100, 'None', 19, 'None', 17, 'None']","[49, 'None', 54, 'None', 59, 'None', 353, 'None', -100, 'None', 46, 'None', 0, 'None']",
768,1.e4 1...e5 2.Nf3 2...Bc5 3.Bc4 3...b5 4.Bxb5 4...h5 5.Nc3 5...h4,4.0,Nc3,"[2, 'None', 7, 'None', 1, 'None', 2, 'None']","[49, 'None', 34, 'None', 197, 'None', 267, 'None']",
769,1.e4 1...e5 2.Nf3 2...a6 3.Bc4 3...g5 4.Bxf7+ 4...Kxf7,3.0,Qxg5+,"[2, 'None', 3, 'None', 11, 'None']","[49, 'None', 71, 'None', 138, 'None']",
770,1.e4 1...e5 2.Nf3 2...c6 3.d4 3...b6 4.dxe5 4...Ba6 5.Bxa6 5...h6 6.Nc3 6...Ba3 7.Bd3 7...Bc5,6.0,Bxc5,"[2, 'None', 4, 'None', 4, 'None', 5, 'None', 9, 'None', 14, 'None']","[49, 'None', 65, 'None', 213, 'None', 277, 'None', 320, 'None', 663, 'None']",
771,1.e4 1...e5 2.Nf3 2...c5 3.Nc3 3...Na6 4.Bc4 4...Nh6 5.d4 5...Ng4 6.Bxh6 6...g6 7.Bg5 7...b6 8.Qd3 8...Nb8,7.0,Qxg6,"[2, 'None', 3, 'None', 10, 'None', 10, 'None', -100, 'None', 2, 'None', 17, 'None']","[49, 'None', 54, 'None', 77, 'None', 135, 'None', -100, 'None', 332, 'None', 207, 'None']",
